Month,Revenue,"Running Total"
2014/01,14161.349,14161.349
2014/02,4119.816,18281.165
2014/03,55526.199,73807.364
2014/04,28139.561,101946.925
2014/05,23634.667,125581.592
2014/06,34508.9956,160090.5876
2014/07,33500.873,193591.4606
2014/08,27603.5125,221194.9731
2014/09,81496.8068,302691.7799
2014/10,31394.941,334086.7209
2014/11,78297.2407,412383.9616
2014/12,69379.8365,481763.7981
2015/01,18085.1156,499848.9137
2015/02,11924.272,511773.1857
2015/03,38621.292,550394.4777
2015/04,32640.4825,583034.9602
2015/05,29325.9705,612360.9307
2015/06,24659.684,637020.6147
2015/07,28524.521,665545.1357
2015/08,36380.9282,701926.0639
2015/09,63704.302,765630.3659
2015/10,31382.1555,797012.5214
2015/11,74699.0335,871711.5549
2015/12,74478.4792,946190.0341
2016/01,18432.591,964622.6251
2016/02,22706.415,987329.0401
2016/03,50832.549,1038161.5891
2016/04,38587.141,1076748.7301
2016/05,56457.32,1133206.0501
2016/06,39628.192,1172834.2421
2016/07,39108.008,1211942.2501
2016/08,31014.4023,1242956.6524
2016/09,71848.2509,1314804.9033
2016/10,58120.423,1372925.3263
2016/11,78454.9018,1451380.2281
2016/12,96075.067,1547455.2951
2017/01,43860.286,1591315.5811
2017/02,20262.3224,1611577.9035
2017/03,58739.2238,1670317.1273
2017/04,36020.1731,1706337.3004
2017/05,44095.3522,1750432.6526
2017/06,52242.5617,1802675.2143
2017/07,44490.448,1847165.6623
2017/08,62643.408,1909809.0703
2017/09,86487.306,1996296.3763
2017/10,77542.4832,2073838.8595
2017/11,117383.381,2191222.2405
2017/12,81227.6158,2272449.8563
