Category,Sub-Category,"Order ID","Product ID","Max Sub Category Sales",Count
Furniture,Bookcases,CA-2015-117086,FUR-BO-10004834,4404.9,228
Furniture,Chairs,CA-2017-118892,FUR-CH-10002024,4416.174,617
Furniture,Furnishings,CA-2016-105732,FUR-FU-10003664,1336.44,910
Furniture,Tables,CA-2015-116638,FUR-TA-10000198,4297.644,319
"Office Supplies",Appliances,CA-2015-123113,OFF-AP-10000275,2625.12,466
"Office Supplies",Art,CA-2014-106376,OFF-AR-10002671,1113.024,796
"Office Supplies",Binders,CA-2016-117121,OFF-BI-10000545,9892.74,1433
"Office Supplies",Envelopes,CA-2014-128888,OFF-EN-10003001,604.656,246
"Office Supplies",Fasteners,CA-2016-139808,OFF-FA-10001883,93.36,212
"Office Supplies",Labels,CA-2017-108560,OFF-LA-10003930,786.48,364
"Office Supplies",Paper,CA-2014-140662,OFF-PA-10003395,733.95,1267
"Office Supplies",Storage,CA-2014-119375,OFF-ST-10002011,2934.33,821
"Office Supplies",Supplies,CA-2014-143917,OFF-SU-10000151,8187.65,176
Technology,Accessories,CA-2016-145625,TEC-AC-10003832,3347.37,775
Technology,Copiers,CA-2016-118689,TEC-CO-10004722,17499.95,68
Technology,Machines,CA-2014-145317,TEC-MA-10002412,22638.48,115
Technology,Phones,CA-2014-144624,TEC-PH-10002885,4548.81,881
