City,order_count,Revenue,Profit,Profit_Margin_Percentage
Summerville,1,79.1,39.55,50
"Grand Island",1,15.96,7.98,50
"Atlantic City",1,23.36,11.68,50
"New Brunswick",2,14.77,7.156700000000001,48.45
Holland,3,137.86,66.6588,48.35
Lindenhurst,1,55.48,26.6304,48
Antioch,1,19.44,9.3312,48
"Royal Oak",2,35.34,16.9632,48
Davis,1,32.4,15.552,48
Bozeman,2,43.66,20.8106,47.67
"San Clemente",2,90.05799999999999,42.5419,47.24
"San Mateo",1,75.18,35.3346,47
Hagerstown,1,43.8,20.586,47
Gulfport,3,166.5,77.5761,46.59
"East Orange",5,377.27,174.6191,46.28
Kirkwood,1,28.4,13.064,46
Rogers,1,40.41,18.5886,46
Norfolk,1,17.43,8.0178,46
"Salt Lake City",5,333.4,152.1303,45.63
"Iowa City",1,9.99,4.4955,45
"Las Cruces",3,98.77,43.9394,44.49
"Grand Rapids",6,490.57,217.20950000000002,44.28
"Lake Charles",3,547.41,241.2558,44.07
Coachella,1,99.99,43.9956,44
Warwick,5,2426.84,1063.7956,43.83
"Maple Grove",4,882.87,385.01009999999997,43.61
Midland,12,5291.512,2293.6827999999996,43.35
Bayonne,3,183.4,79.403,43.29
"Green Bay",3,504.59999999999997,218.2524,43.25
Sheboygan,4,79.74000000000001,34.3419,43.07
Linden,1,115.36,49.6048,43
"Pico Rivera",1,145.9,62.737,43
"Citrus Heights",1,129.39,54.3438,42
"Thousand Oaks",5,238.804,99.914,41.84
"Rochester Hills",1,132.52,54.3332,41
Lodi,1,39.68,16.2688,41
Atlanta,39,17197.84,6993.6629,40.67
Eagan,8,214.28,87.0338,40.62
Minneapolis,23,16870.54,6824.584599999999,40.45
Independence,2,2417.37,975.663,40.36
Woonsocket,4,195.54999999999998,78.6791,40.23
Lafayette,30,25001.829999999998,10001.5463,40
Portage,1,16.28,6.512,40
Mobile,11,5462.99,2175.8292,39.83
Macon,6,364.01000000000005,144.8535,39.79
Norwich,4,414.03999999999996,164.08960000000002,39.63
Superior,9,1299.73,514.0822000000001,39.55
Wichita,7,825.27,323.9266,39.25
"La Quinta",1,46.32,18.0648,39
Waterloo,1,30.32,11.8248,39
Owensboro,2,71.18,27.642799999999998,38.84
Urbandale,3,149.12,57.717999999999996,38.71
Manteca,3,452.182,172.2358,38.09
"East Point",3,268.4,102.0138,38.01
"Cottage Grove",2,144.35999999999999,54.796800000000005,37.96
Carlsbad,11,419.34,157.76610000000002,37.62
Nashua,2,35.94,13.512599999999999,37.6
"Port Orange",1,7.824,2.934,37.5
Salinas,8,728.8910000000001,270.5181,37.11
Washington,10,2865.0199999999995,1059.5892999999999,36.98
Trenton,13,1765.1950000000002,652.0998,36.94
"Perth Amboy",7,1705.3200000000002,627.8815999999999,36.82
Morristown,7,5033.099999999999,1838.2270999999998,36.52
Roswell,18,6652.319999999999,2427.4353,36.49
Bangor,5,1164.45,422.2204,36.26
"Newport News",11,3252.4500000000003,1176.8918999999999,36.18
Yonkers,15,7657.666,2767.7557,36.14
Danbury,1,27.46,9.8856,36
Bellevue,6,103.622,37.0548,35.76
"Saint Cloud",3,1331.82,469.614,35.26
"Virginia Beach",16,5752.13,2024.8837,35.2
Draper,3,263.65,92.72550000000001,35.17
Hampton,11,2722.26,953.8323,35.04
"New Albany",4,209.55,73.3529,35
Keller,1,6,2.1,35
Baytown,1,10.368,3.6288,35
"Cedar Hill",2,122.376,42.8316,35
Roseville,25,3586.146,1252.2215,34.92
"Huntington Beach",6,2527.82,880.0391999999999,34.81
"Coral Gables",2,64.248,22.357799999999997,34.8
Leominster,4,180.04,62.3545,34.63
Cambridge,6,502.09,173.72759999999997,34.6
Providence,30,15963.609999999995,5497.9889,34.44
"Great Falls",7,4599.483999999999,1580.4973,34.36
Greeley,2,30.351999999999997,10.3614,34.14
"Saint Louis",4,274.20000000000005,92.7917,33.84
"Santa Clara",4,174.272,58.9512,33.83
Hattiesburg,9,1722.8400000000001,582.0694,33.79
"Chapel Hill",1,14.016,4.7304,33.75
"Redwood City",1,41.904,14.1426,33.75
Belleville,9,809.1199999999999,272.8244,33.72
"Overland Park",6,606.91,203.52179999999998,33.53
Appleton,2,1671.31,554.7663,33.19
Milford,6,961.7400000000001,319.054,33.17
Paterson,19,2173.71,720.3350000000002,33.14
"San Luis Obispo",1,3.62,1.1946,33
Springdale,1,4.3,1.419,33
"Pine Bluff",2,212.91,70.2048,32.97
"West Jordan",5,311.85,102.6723,32.92
Kent,12,1499.0960000000002,492.5656000000001,32.86
"La Crosse",5,830.41,272.0761,32.76
Marlborough,2,206.64,67.60679999999999,32.72
Longview,3,119.21000000000001,38.8983,32.63
Billings,1,8.288,2.6936,32.5
Woodbury,3,607.65,196.09619999999998,32.27
Murray,5,410.938,131.5286,32.01
Gladstone,2,164.34,52.5888,32
"Rock Hill",1,11.85,3.792,32
"Rancho Cucamonga",4,231.852,73.7442,31.81
"Little Rock",23,3377.41,1068.6872999999998,31.64
Lakeville,15,4260.95,1346.6021000000003,31.6
Orange,6,211.11,66.5698,31.53
Edinburg,3,88.27600000000001,27.8086,31.5
"Mount Vernon",8,2119.632,662.5146,31.26
Missoula,1,487.984,152.495,31.25
Lawrence,44,7654.191999999999,2382.1465000000007,31.12
"La Mesa",2,367.53000000000003,114.387,31.12
Revere,7,833.26,258.8366,31.06
Detroit,111,42302.90400000002,13117.051600000003,31.01
Hackensack,6,1456.16,451.25469999999996,30.99
Lewiston,4,115.664,35.6202,30.8
Richmond,88,18106.66999999999,5553.0052,30.67
Coppell,4,135.936,41.4892,30.52
Jackson,79,24903.447999999997,7552.6813,30.33
Laurel,2,152.59,46.1733,30.26
"Sioux Falls",9,1137.42,343.4299,30.19
"Bullhead City",2,22.288,6.7232,30.17
"Sterling Heights",3,110.03999999999999,33.0676,30.05
Meriden,10,1505,449.2084,29.85
Lehi,2,1516.726,451.6626,29.78
"Niagara Falls",3,199.84199999999998,59.238299999999995,29.64
Westfield,6,519.7199999999999,153.17579999999998,29.47
Indianapolis,23,9306.419999999998,2741.6538,29.46
Escondido,3,94.548,27.753,29.35
"Rapid City",2,152.64000000000001,44.7684,29.33
Clifton,2,336.82,98.58840000000001,29.27
"Des Moines",17,5378.798,1571.0387,29.21
Shelton,2,73.33,21.4053,29.19
Omaha,27,6294.890000000001,1832.9832000000006,29.12
Tuscaloosa,2,175.70000000000002,51.010400000000004,29.03
"Garden City",5,312.38000000000005,90.6259,29.01
"Cedar Rapids",1,278.4,80.736,29
"Chula Vista",1,192.8,55.912,29
"Pleasant Grove",6,1979.278,572.7099,28.94
Meridian,4,329.052,95.21400000000001,28.94
Rome,6,534.852,154.2138,28.83
Dearborn,4,1542.47,444.2672,28.8
Utica,8,655.04,188.55960000000002,28.79
