"Product Id","Product Name",Revenue
TEC-CO-10004722,"Canon imageCLASS 2200 Advanced Copier",61599.824
OFF-BI-10003527,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",27453.384
TEC-MA-10002412,"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48
FUR-CH-10002024,"HON 5400 Series Task Chairs for Big and Tall",21870.576
OFF-BI-10001359,"GBC DocuBind TL300 Electric Binding System",19823.479000000003
OFF-BI-10000545,"GBC Ibimaster 500 Manual ProClick Binding System",19024.5
TEC-CO-10001449,"Hewlett Packard LaserJet 3310 Copier",18839.686
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24" Color"",18374.895
OFF-BI-10004995,"GBC DocuBind P400 Electric Binding System",17965.068
OFF-SU-10000151,"High Speed Automatic Electric Letter Opener",17030.311999999998
